"","town","zip","n_school","enroll","dropout","high_need","econ_dis","black","white","hispanic","asian","other_re"
"1","Allston","2134",1,33,0,2.72727272727273,2,0.378,0.111,0.411,0.067,0.033
"2","Boston","2115",2,1989,0.0112051282051282,0.373554550025138,0.287078934137758,0.146060331825038,0.392471091000503,0.183630970336853,0.241086475615887,0.0359316239316239
"3","Boston","2116",3,843,0.130459074733096,1.25266903914591,1.00593119810202,0.344376037959668,0.0611459074733096,0.394091340450771,0.168241992882562,0.0328861209964413
"4","Boston","2118",1,19,0,1.52631578947368,1.15789473684211,0.517,0.138,0.172,0.138,0.034
"5","Boston","2130",1,284,0.025,0.862676056338028,0.644366197183099,0.042,0.014,0.933,0,0.011
"6","Boston","2215",2,754,0.0318143236074271,1.48275862068966,1.11538461538462,0.426986737400531,0.0883554376657825,0.423722811671088,0.0319708222811671,0.0285570291777188
"7","Brighton","2135",2,922,0.171630151843818,0.865509761388286,0.60412147505423,0.416291757049892,0.0876225596529284,0.441273318872017,0.0353383947939263,0.0194739696312364
"8","Charlestown","2129",1,867,0.198,0.916955017301038,0.659746251441753,0.331,0.052,0.435,0.17,0.012
"9","Dorchester","2121",3,1801,0,0.716268739589117,0.57023875624653,0.398906718489728,0.200094947251527,0.228890616324264,0.143775124930594,0.0282515269294836
"10","Dorchester","2122",1,342,0.036,0.923976608187134,0.713450292397661,0.696,0.022,0.233,0.033,0.016
"11","Dorchester","2124",3,1165,0.110327896995708,1.35278969957082,0.987982832618026,0.559614592274678,0.0581793991416309,0.313711587982833,0.0417304721030043,0.0270884120171674
"12","Dorchester","2125",1,99,0.377,0.777777777777778,0.727272727272727,0.616,0.04,0.323,0.01,0.01
"13","East Boston","2128",1,1480,0.127,0.810810810810811,0.464864864864865,0.069,0.128,0.777,0.013,0.014
"14","Hyde Park","2136",3,1039,0.0198315688161694,0.716073147256978,0.564966313763234,0.464340712223292,0.0471453320500481,0.427381135707411,0.0362868142444658,0.0247247353224254
"15","Jamaica Plain","2130",2,581,0.300721170395869,0.843373493975904,0.676419965576592,0.436144578313253,0.0202271944922547,0.517113597246127,0.0147882960413081,0.0117263339070568
"16","Roslindale","2131",1,184,0.048,0.809782608695652,0.695652173913043,0.43,0.145,0.394,0.01,0.02
"17","Roxbury","2120",3,2307,0.0869154746423927,0.748591244039879,0.602514087559601,0.352409189423494,0.071456003467707,0.428137841352406,0.118564802774166,0.0290988296488947
"18","South Boston","2127",1,524,0.187,0.845419847328244,0.646946564885496,0.377,0.097,0.288,0.219,0.019
"19","West Roxbury","2132",2,917,0.120186477644493,0.7546346782988,0.581243184296619,0.490412213740458,0.0946837513631407,0.370435114503817,0.0171864776444929,0.0268135223555071
